#Top: zusys_wrapper   Floorplan: impl_1   Part: xczu15eg-ffvc900-1-e
#Generated by: Hossam   on: Thu Jan  9 11:36:26 2020
#Build: Vivado v2018.2   by: xbuild   on: Thu Jun 14 20:03:12 MDT 2018
#Package Version: PRODUCTION 1.1 4/25/2017
#Package Pin Delay Version: PRODUCTION 1.0 1/22/2016

#The following package pin(s) are connected to master PCIE reset pins, and #    should be tied off to a 1.8V standard - 
IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage,ODT
64,AH6,IOB_X1Y28,IO_L14P_T2L_N2_GC_64,89.066,89.961,,,,,,,,,,,,,,,,,,,,
64,AK6,IOB_X1Y31,IO_L15N_T2L_N5_AD11N_64,98.707,99.699,,,,,,,,,,,,,,,,,,,,
64,AK7,IOB_X1Y30,IO_L15P_T2L_N4_AD11P_64,97.782,98.764,,,,,,,,,,,,,,,,,,,,
64,AF5,IOB_X1Y33,IO_L16N_T2U_N7_QBC_AD3N_64,76.144,76.909,,,,,,,,,,,,,,,,,,,,
64,AF6,IOB_X1Y32,IO_L16P_T2U_N6_QBC_AD3P_64,76.133,76.898,,,,,,,,,,,,,,,,,,,,
64,AK5,IOB_X1Y35,IO_L17N_T2U_N9_AD10N_64,103.067,104.102,,,,,,,,,,,,,,,,,,,,
64,AJ5,IOB_X1Y34,IO_L17P_T2U_N8_AD10P_64,101.902,102.926,,,,,,,,,,,,,,,,,,,,
64,AJ4,IOB_X1Y37,IO_L18N_T2U_N11_AD2N_64,96.686,97.658,,,,,,,,,,,,,,,,,,,,
64,AH4,IOB_X1Y36,IO_L18P_T2U_N10_AD2P_64,92.890,93.824,,,,,,,,,,,,,,,,,,,,
64,AK3,IOB_X1Y40,IO_L19N_T3L_N1_DBC_AD9N_64,111.717,112.840,,,,,,,,,,,,,,,,,,,,
64,AK4,IOB_X1Y39,IO_L19P_T3L_N0_DBC_AD9P_64,112.272,113.401,,,,,,,,,,,,,,,,,,,,
64,AH2,IOB_X1Y42,IO_L20N_T3L_N3_AD1N_64,99.360,100.358,,,,,,,,,,,,,,,,,,,,
64,AH3,IOB_X1Y41,IO_L20P_T3L_N2_AD1P_64,97.780,98.762,,,,,,,,,,,,,,,,,,,,
64,AK2,IOB_X1Y44,IO_L21N_T3L_N5_AD8N_64,116.916,118.091,,,,,,,,,,,,,,,,,,,,
64,AJ2,IOB_X1Y43,IO_L21P_T3L_N4_AD8P_64,115.448,116.608,,,,,,,,,,,,,,,,,,,,
64,AH1,IOB_X1Y46,IO_L22N_T3U_N7_DBC_AD0N_64,107.628,108.710,,,,,,,,,,,,,,,,,,,,
64,AG1,IOB_X1Y45,IO_L22P_T3U_N6_DBC_AD0P_64,107.759,108.842,,,,,,,,,,,,,,,,,,,,
64,AG3,IOB_X1Y48,IO_L23N_T3U_N9_64,101.495,102.515,,,,,,,,,,,,,,,,,,,,
64,AF3,IOB_X1Y47,IO_L23P_T3U_N8_64,99.553,100.553,,,,,,,,,,,,,,,,,,,,
64,AF1,IOB_X1Y50,IO_L24N_T3U_N11_64,99.853,100.856,,,,,,,,,,,,,,,,,,,,
64,AF2,IOB_X1Y49,IO_L24P_T3U_N10_64,96.556,97.526,,,,,,,,,,,,,,,,,,,,
64,AF12,,VREF_64,,,,,,,,,,,,,,,,,,,,,,
64,AF9,,VCCO_64,,,,,,,,,,,,,,,,,,,,VCCO_64,0.00-1.80,
64,AG12,,VCCO_64,,,,,,,,,,,,,,,,,,,,VCCO_64,0.00-1.80,
64,AH10,,VCCO_64,,,,,,,,,,,,,,,,,,,,VCCO_64,0.00-1.80,
65,AC12,IOB_X1Y64,IO_T0U_N12_VRP_65,105.846,106.910,,,,,,,,,,,,,,,,,,,,
65,AE8,IOB_X1Y77,IO_T1U_N12_65,99.744,100.746,,,,,,,,,,,,,,,,,,,,
65,AE7,IOB_X1Y90,IO_T2U_N12_65,113.580,114.722,,,,,,,,,,,,,,,,,,,,
65,AE1,IOB_X1Y103,IO_T3U_N12_65,110.578,111.689,,,,,,,,,,,,,,,,,,,,
65,AC13,IOB_X1Y53,IO_L1N_T0L_N1_DBC_65,104.888,105.942,,,,,,,,,,,,,,,,,,,,
65,AB13,IOB_X1Y52,IO_L1P_T0L_N0_DBC_65,105.595,106.656,,,,,,,,,,,,,,,,,,,,
65,AF13,IOB_X1Y55,IO_L2N_T0L_N3_65,128.818,130.113,,,,,,,,,,,,,,,,,,,,
65,AE13,IOB_X1Y54,IO_L2P_T0L_N2_65,126.763,128.037,,,,,,,,,,,,,,,,,,,,
65,AE12,IOB_X1Y57,IO_L3N_T0L_N5_AD15N_65,103.483,104.523,,,,,,,,,,,,,,,,,,,,
65,AD12,IOB_X1Y56,IO_L3P_T0L_N4_AD15P_65,103.145,104.181,,,,,,,,,,,,,,,,,,,,
65,AD11,IOB_X1Y59,IO_L4N_T0U_N7_DBC_AD7N_65,106.802,107.875,,,,,,,,,,,,,,,,,,,,
65,AC11,IOB_X1Y58,IO_L4P_T0U_N6_DBC_AD7P_SMBALERT_65,106.791,107.864,,,,,,,,,,,,,,,,,,,,
65,AA11,IOB_X1Y61,IO_L5N_T0U_N9_AD14N_65,122.716,123.949,,,,,,,,,,,,,,,,,,,,
65,AA12,IOB_X1Y60,IO_L5P_T0U_N8_AD14P_65,125.171,126.429,,,,,,,,,,,,,,,,,,,,
65,AB10,IOB_X1Y63,IO_L6N_T0U_N11_AD6N_65,102.427,103.457,,,,,,,,,,,,,,,,,,,,
65,AB11,IOB_X1Y62,IO_L6P_T0U_N10_AD6P_65,102.144,103.171,,,,,,,,,,,,,,,,,,,,
65,AC9,IOB_X1Y66,IO_L7N_T1L_N1_QBC_AD13N_65,89.852,90.755,,,,,,,,,,,,,,,,,,,,
65,AB9,IOB_X1Y65,IO_L7P_T1L_N0_QBC_AD13P_65,88.864,89.757,,,,,,,,,,,,,,,,,,,,
65,AE10,IOB_X1Y68,IO_L8N_T1L_N3_AD5N_65,114.630,115.782,,,,,,,,,,,,,,,,,,,,
65,AD10,IOB_X1Y67,IO_L8P_T1L_N2_AD5P_65,113.932,115.077,,,,,,,,,,,,,,,,,,,,
65,AE9,IOB_X1Y70,IO_L9N_T1L_N5_AD12N_65,101.512,102.532,,,,,,,,,,,,,,,,,,,,
65,AD9,IOB_X1Y69,IO_L9P_T1L_N4_AD12P_65,100.123,101.130,,,,,,,,,,,,,,,,,,,,
65,AA7,IOB_X1Y72,IO_L10N_T1U_N7_QBC_AD4N_65,87.793,88.675,,,,,,,,,,,,,,,,,,,,
65,AA8,IOB_X1Y71,IO_L10P_T1U_N6_QBC_AD4P_65,88.937,89.831,,,,,,,,,,,,,,,,,,,,
65,AD7,IOB_X1Y74,IO_L11N_T1U_N9_GC_65,89.834,90.737,,,,,,,,,,,,,,,,,,,,
65,AC7,IOB_X1Y73,IO_L11P_T1U_N8_GC_65,89.880,90.783,,,,,,,,,,,,,,,,,,,,
65,AC8,IOB_X1Y76,IO_L12N_T1U_N11_GC_65,88.249,89.136,,,,,,,,,,,,,,,,,,,,
65,AB8,IOB_X1Y75,IO_L12P_T1U_N10_GC_65,87.949,88.833,,,,,,,,,,,,,,,,,,,,
65,AB5,IOB_X1Y79,IO_L13N_T2L_N1_GC_QBC_65,87.251,88.128,,,,,,,,,,,,,,,,,,,,
65,AB6,IOB_X1Y78,IO_L13P_T2L_N0_GC_QBC_65,87.687,88.568,,,,,,,,,,,,,,,,,,,,
65,AD6,IOB_X1Y81,IO_L14N_T2L_N3_GC_65,91.002,91.916,,,,,,,,,,,,,,,,,,,,
65,AC6,IOB_X1Y80,IO_L14P_T2L_N2_GC_65,90.087,90.992,,,,,,,,,,,,,,,,,,,,
65,AA5,IOB_X1Y83,IO_L15N_T2L_N5_AD11N_65,87.036,87.911,,,,,,,,,,,,,,,,,,,,
65,AA6,IOB_X1Y82,IO_L15P_T2L_N4_AD11P_65,87.334,88.212,,,,,,,,,,,,,,,,,,,,
65,AE5,IOB_X1Y85,IO_L16N_T2U_N7_QBC_AD3N_65,94.414,95.363,,,,,,,,,,,,,,,,,,,,
65,AD5,IOB_X1Y84,IO_L16P_T2U_N6_QBC_AD3P_65,93.084,94.020,,,,,,,,,,,,,,,,,,,,
65,AE4,IOB_X1Y87,IO_L17N_T2U_N9_AD10N_65,94.370,95.318,,,,,,,,,,,,,,,,,,,,
65,AD4,IOB_X1Y86,IO_L17P_T2U_N8_AD10P_65,91.097,92.013,,,,,,,,,,,,,,,,,,,,
65,AC4,IOB_X1Y89,IO_L18N_T2U_N11_AD2N_65,89.925,90.829,,,,,,,,,,,,,,,,,,,,
65,AB4,IOB_X1Y88,IO_L18P_T2U_N10_AD2P_65,86.699,87.570,,,,,,,,,,,,,,,,,,,,
65,AC3,IOB_X1Y92,IO_L19N_T3L_N1_DBC_AD9N_65,86.141,87.006,,,,,,,,,,,,,,,,,,,,
65,AB3,IOB_X1Y91,IO_L19P_T3L_N0_DBC_AD9P_65,85.205,86.061,,,,,,,,,,,,,,,,,,,,
65,AE2,IOB_X1Y94,IO_L20N_T3L_N3_AD1N_65,102.091,103.117,,,,,,,,,,,,,,,,,,,,
65,AE3,IOB_X1Y93,IO_L20P_T3L_N2_AD1P_65,100.446,101.456,,,,,,,,,,,,,,,,,,,,
65,AD2,IOB_X1Y96,IO_L21N_T3L_N5_AD8N_65,97.645,98.627,,,,,,,,,,,,,,,,,,,,
65,AC2,IOB_X1Y95,IO_L21P_T3L_N4_AD8P_65,96.414,97.383,,,,,,,,,,,,,,,,,,,,
65,AD1,IOB_X1Y98,IO_L22N_T3U_N7_DBC_AD0N_65,101.455,102.475,,,,,,,,,,,,,,,,,,,,
65,AC1,IOB_X1Y97,IO_L22P_T3U_N6_DBC_AD0P_65,100.458,101.468,,,,,,,,,,,,,,,,,,,,
65,AA2,IOB_X1Y100,IO_L23N_T3U_N9_65,83.629,84.470,,,,,,,,,,,,,,,,,,,,
65,AA3,IOB_X1Y99,IO_L23P_T3U_N8_I2C_SCLK_65,84.577,85.427,,,,,,,,,,,,,,,,,,,,
65,AB1,IOB_X1Y102,IO_L24N_T3U_N11_PERSTN0_65,91.052,91.967,,,,,,,,,,,,,,,,,,,,
65,AA1,IOB_X1Y101,IO_L24P_T3U_N10_PERSTN1_I2C_SDA_65,87.835,88.717,,,,,,,,,,,,,,,,,,,,
65,AA10,,VREF_65,,,,,,,,,,,,,,,,,,,,,,
65,AA9,,VCCO_65,,,,,,,,,,,,,,,,,,,,VCCO_65,0.00-1.80,
65,AC5,,VCCO_65,,,,,,,,,,,,,,,,,,,,VCCO_65,0.00-1.80,
65,AD8,,VCCO_65,,,,,,,,,,,,,,,,,,,,VCCO_65,0.00-1.80,
66,V3,IOB_X1Y116,IO_T0U_N12_VRP_66,84.252,85.099,,,,,,,,,,,,,,,,,,,,
66,Y7,IOB_X1Y129,IO_T1U_N12_66,79.943,80.746,,,,,,,,,,,,,,,,,,,,
66,Y10,IOB_X1Y142,IO_T2U_N12_66,88.768,89.660,,,,,,,,,,,,,,,,,,,,
66,N11,IOB_X1Y155,IO_T3U_N12_66,136.399,137.770,,,,,,,,,,,,,,,,,,,,
66,Y3,IOB_X1Y105,IO_L1N_T0L_N1_DBC_66,76.258,77.025,,,,,,,,,,,,,,,,,,,,
66,Y4,IOB_X1Y104,IO_L1P_T0L_N0_DBC_66,76.404,77.172,,,,,,,,,,,,,,,,,,,,
66,Y1,IOB_X1Y107,IO_L2N_T0L_N3_66,83.028,83.862,,,,,,,,,,,,,,,,,,,,
66,Y2,IOB_X1Y106,IO_L2P_T0L_N2_66,78.897,79.690,,,,,,,,,,,,,,,,,,,,
66,W1,IOB_X1Y109,IO_L3N_T0L_N5_AD15N_66,87.186,88.063,,,,,,,,,,,,,,,,,,,,
66,W2,IOB_X1Y108,IO_L3P_T0L_N4_AD15P_66,85.317,86.175,,,,,,,,,,,,,,,,,,,,
