Sample in Buffer,Sample in Window,TRIGGER,zusys_i/system_ila_0/U0/probe0_1[0:15]
917,917,0,8778
918,918,0,5a7c
919,919,0,0b30
920,920,0,f5a6
921,921,0,c4b9
922,922,0,92db
923,923,0,9102
924,924,0,7fe6
925,925,0,0318
926,926,0,2080
927,927,0,2000
928,928,0,0048
929,929,0,2108
930,930,0,0400
931,931,0,0812
932,932,0,8804
933,933,0,1090
934,934,0,2041
935,935,0,8101
936,936,0,0042
937,937,0,0810
938,938,0,0410
939,939,0,3040
940,940,0,0010
941,941,0,0404
942,942,0,0020
943,943,0,8304
944,944,0,9948
945,945,0,9146
946,946,0,6c03
947,947,0,e708
948,948,0,4758
949,949,0,660c
950,950,0,0c01
951,951,0,0006
952,952,0,000c
953,953,0,054c
954,954,0,4212
955,955,0,0920
956,956,0,1140
957,957,0,1400
958,958,0,8140
959,959,0,a000
960,960,0,0044
961,961,0,1344
962,962,0,2004
963,963,0,0441
964,964,0,8c06
965,965,0,0120
966,966,0,0401
967,967,0,0810
968,968,0,0400
969,969,0,6440
970,970,0,6c81
971,971,0,1190
972,972,0,2049
973,973,0,7490
974,974,0,5c93
975,975,0,3c44
976,976,0,9744
977,977,0,3020
978,978,0,2098
979,979,0,8180
980,980,0,4400
981,981,0,8102
982,982,0,0002
983,983,0,7c41
984,984,0,1161
985,985,0,3b10
986,986,0,0310
987,987,0,8012
988,988,0,220c
989,989,0,8478
990,990,0,c000
991,991,0,0000
992,992,0,0802
993,993,0,2244
994,994,0,7761
995,995,0,611b
996,996,0,3844
997,997,0,996e
998,998,0,3c04
999,999,0,436f
1000,1000,0,7192
1001,1001,0,6cf3
1002,1002,0,8793
1003,1003,0,6475
1004,1004,0,f76c
1005,1005,0,dcc8
1006,1006,0,f8f2
1007,1007,0,0591
1008,1008,0,c600
1009,1009,0,8a8b
1010,1010,0,0208
1011,1011,0,e6c4
1012,1012,0,4f42
1013,1013,0,e300
1014,1014,0,2020
1015,1015,0,0008
1016,1016,0,0118
1017,1017,0,6142
1018,1018,0,2000
1019,1019,0,0086
1020,1020,0,7232
1021,1021,0,3008
1022,1022,0,5589
1023,1023,0,2ca6
